Weeks,01,02,03,04,05,06,07,08,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
St Bartholomew the Less,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,15,8,21,19,12,11,7,7,3,5,5,3,4,1,1,0,0,1
St Batholomw Exchan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,5,3,6,7,4,3,4,1,2,4,1,2,1,0,0
St Bennet Fink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,2,3,0,0,2,1,5,1,0,1,1,0,0,0,0,0
St Bennet Gracech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,4,4,2,2,10,4,2,0,1,1,0,2,1,2,0
St Bennet Sherehog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
St Bennt Pauls wharf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,2,4,2,7,8,31,21,19,15,19,7,9,8,5,0,5,3,1,0,0,1,0
St Botolph Aldersgate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,5,17,23,46,47,61,80,79,61,62,64,64,42,28,15,11,14,5,6,0,0,4,5
St Botolph Bishopsgate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,17,20,39,77,80,133,196,236,280,299,298,256,145,121,119,53,30,24,24,17,11,5,5,3,4
St Botolph Bps gate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,4,2,8,4,7,3,3,5,4,3,0,0,1,1
St Bride,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,07,14,16,39,36,66,90,119,152,189,149,180,91,67,88,43,17,15,16,10,6,2,1,4,2
St Christophers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,7,4,5,6,4,4,3,4,0,2,1,0,0,0,1,0
St Clement Danes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,4,0,8,7,16,19,15,24,45,42,42,57,78,82,114,98,140,128,110,104,55,30,16,28,19,7,4,1,10,4
St Clement Eastcheap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,3,3,1,1,1,0,1,0,1,0,1,1,0,0,2
St Dionis Backchurch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,3,2,2,5,1,1,4,1,0,0,0,0,0,0
St Dunstan East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,12,10,17,24,20,17,7,4,5,4,3,6,2,1,4
St Dunstan in the West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,9,3,11,10,20,25,29,42,74,50,79,58,59,56,35,21,15,13,17,9,5,2,2,3
St Edmund Lumbd St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,4,3,1,10,4,1,0,0,3,3,0,0,0,2
St Ethelborough,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,9,8,7,18,9,10,6,7,4,7,1,2,0,0,1,0,1,0,0,0
St Faith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,4,8,6,10,6,12,6,1,3,1,1,0,1,1,1,2
St Gabrll Fenchurch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,3,4,5,1,0,4,6,1,0,0,0,1
St George Bot Lane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,7,0,3,1,4,2,0,0,0,2
St Giles Cripplegate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,7,32,49,114,208,302,356,521,572,605,567,401,373,225,151,138,67,28,22,39,23,17,2,3,3,7
St Gregory by St Pauls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,6,11,5,25,20,19,23,26,25,21,12,4,5,8,5,4,1,0,1,0
St Hellen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,10,11,6,10,6,8,3,5,2,4,0,1,1,0,0,1,0,0,0
St James Dukes place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,5,6,5,20,26,21,23,25,18,8,6,3,3,1,2,1,1,0
